,Personalizar,Cut.Mch,Type,Int Fam,Circuit,Wire/Tube/Splice,Section,Color 1,Color 2,length,Bundle Qty,Term A,Joint to A,Seal A,Strip A,Rmks A,Term B,Joint to B,Seal B,Strip B,Rmks B,KBN Loc,Topologia,Abastecimento,Rate pçs/h,Processo,Projeto,Tamanho de lote,Max nunber,Segunda  1T,Segunda 2T,Terça 1T,Terça 2T,Quarta 1T,Quarta 2T,Quinta 1T,Quinta 2T,Sexta 1T,Sexta 2T,Sábado 1T,Sábado 2T,total week,MP comuns,ProcessoA,ProcessoB,Máq_Tipo
537,V146249B,B01,C,V14,6249B,E28687300,10.0,RD,BU,970.0,5.0,E24570700,                  ,,10.0,                                                            ,3202545S7,                  ,3204511U9,7.0,                                                            ,SB.A-17,IP,,1000.0,TS,VS30,570.0,114.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,0.0,0.0,350.0,,BATERIA,BATERIA,B01-TT
538,V147220_1B,B01,I,V14,7220_1B,E09311300,0.35,PK,  ,4180.0,15.0,E00309500,                  ,,3.5,                                                            ,E15509300,                  ,329983118,3.5,                                                            ,B01.C-03,IP,,,TS,VS30,570.0,38.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,0.0,0.0,360.0,,,,B01-TT
539,V147220_2B,B01,I,V14,7220_2B,E09311300,0.35,GN,  ,4180.0,15.0,E00309500,                  ,,3.5,                                                            ,E15509300,                  ,329983118,3.5,                                                            ,B01.C-03,IP,CORTE,,TS,VS30,570.0,38.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,0.0,0.0,360.0,,,,B01-TT
540,V127593_4,B01,I,V12,7593_4,E11176400,0.35,BA,  ,3470.0,15.0,E00066800,                  ,,3.5,                                                            ,,Z87/16*7-L        ,,13.0,                                                            ,B01.B-06,IP,,,TT,VS30,45.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,,,,B01-TT
541,V143947_1B,B01,I,V14,3947_1B,E09311300,0.35,PK,  ,2495.0,60.0,E03846100,                  ,329983118,4.0,                                                            ,E00066800,                  ,,3.5,                                                            ,B01.C-09,IP,,,TS,VS30,600.0,10.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,0.0,0.0,360.0,,,,B01-TT
542,V127593_3,B01,I,V12,7593_3,E11176400,0.35,WH,  ,3470.0,15.0,E00066800,                  ,,3.5,                                                            ,E00066800,                  ,,3.5,                                                            ,B01.B-06,IP,,,TT,VS30,45.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,,,,B01-TT
543,V244287_2L,B01,I,V24,4287_2L,E10536300,0.5,WH,PK,8370.0,15.0,E03355600,                  ,329983100,4.0,                                                            ,E03999200,                  ,329983100,4.0,                                                            ,B01.A-08,IP,CORTE,1000.0,TS,VS30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,SEAL CRIMP,SEAL CRIMP,B01-TT
544,V124903_2,B01,I,V12,4903_2,E11176400,0.35,BN,  ,3410.0,15.0,E00066800,                  ,,3.5,                                                            ,E00066800,                  ,,3.5,                                                            ,B01.A-22,IP,,1000.0,TT,VS30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,SEAL CRIMP,SEAL CRIMP,B01-TT
545,V14MC4281B,B01,M,V14,MC4281B,E10536500,0.0,,,620.0,15.0,,,,0.0,                                                            ,,,,0.0,                                                            ,B01.A-02,IP,,,TT,VS30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,B01-TT
546,V144284_1B,B01,I,V14,4284_1B,E10536600,0.5,BK,GN,5225.0,15.0,E03999200,                  ,329983100,4.0,                                                            ,E03355600,                  ,329983100,4.0,                                                            ,B01.A-03,IP,,1000.0,TS,VS30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,SEAL CRIMP,SEAL CRIMP,B01-TT
547,V143947_2B,B01,I,V14,3947_2B,E09311300,0.35,GN,  ,2495.0,60.0,E03846100,                  ,329983118,4.0,                                                            ,E00066800,                  ,,3.5,                                                            ,B01.C-09,IP,,,TS,VS30,600.0,10.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,0.0,0.0,360.0,,,,B01-TT
548,V14MC4284B,B01,M,V14,MC4284B,E10536600,0.0,,,5200.0,15.0,,,,0.0,                                                            ,,,,0.0,                                                            ,B01.A-03,IP,,,TT,VS30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,B01-TT
549,V124903_4,B01,I,V12,4903_4,E11176400,0.35,BA,  ,3410.0,15.0,E00066800,                  ,,3.5,                                                            ,,Z87/16*3-L        ,,13.0,                                                            ,B01.A-22,IP,,1000.0,TT,VS30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,SEAL CRIMP,SPLICE,B01-TT
550,V124903_3,B01,I,V12,4903_3,E11176400,0.35,WH,  ,3410.0,15.0,E00066800,                  ,,3.5,                                                            ,E00066800,                  ,,3.5,                                                            ,B01.A-22,IP,,1000.0,TT,VS30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,SEAL CRIMP,SEAL CRIMP,B01-TT
551,V164804D.1,B01,C,V16,4804D.1,E11179200,16.0,RD,WH,7530.0,5.0,3202554K5,                  ,,9.0,                                                            ,E11495000,                  ,,11.0,BT                                                          ,SB.A-23,IP,,,TT,VS30,155.0,31.0,5.0,0.0,9.0,0.0,26.0,0.0,8.0,0.0,27.0,0.0,0.0,0.0,75.0,V164804D.1,,,B01-TT
552,V164287_2D,B01,I,V16,4287_2D,E10536300,0.5,WH,PK,8370.0,15.0,E03355600,                  ,329983100,4.0,                                                            ,E03999200,                  ,329983100,4.0,                                                            ,B01.A-08,IP,CORTE,1000.0,TS,VS30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,SEAL CRIMP,SEAL CRIMP,B01-TT
553,V12MC5921,B01,M,V12,MC5921,E09311300,0.0,,,1615.0,60.0,,,,0.0,                                                            ,,,,0.0,                                                            ,B01.B-01,IP,,,TT,VS30,1140.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,V12MC5921,,,B01-TT
554,V164804D.2,B01,C,V16,4804D.2,E11179200,16.0,RD,WH,7530.0,5.0,3202554K5,                  ,,9.0,                                                            ,E11495000,                  ,,11.0,BT                                                          ,CAIXA,IP,,,TT,VS30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,V164804D.1,,,B01-TT
555,V145927_2B,B01,I,V14,5927_2B,E09311300,0.35,GN,  ,965.0,15.0,E00309500,                  ,,3.5,                                                            ,E00066800,                  ,,3.5,                                                            ,B01.B-05,IP,SPLICE,1000.0,TT,VS30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,SEAL CRIMP,SEAL CRIMP,B01-TT
556,V244278_2L,B01,I,V24,4278_2L,E10536200,0.5,WH,GY,8150.0,15.0,E03355600,                  ,329983100,4.0,                                                            ,E03999200,                  ,329983100,4.0,                                                            ,B01.A-07,IP,,1000.0,TS,VS30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,SEAL CRIMP,SEAL CRIMP,B01-TT
557,V12MC4903,B01,M,V12,MC4903,E11176400,0.0,,,3410.0,15.0,,,,0.0,                                                            ,,,,0.0,                                                            ,B01.A-22,IP,,,TT,VS30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,B01-TT
