,PROJETO,Terminal,Bitola,CCW,CCH,ICW,ICH,SDC %,BLDI
0,GEM,320259138,0.35,1.43,0.76,1.738,1.636,14.000000000000002,300.0
1,GEM,320259872,8.0,6.4,2.7,8.4,5.2,,
2,VS30,320260128,1.5,2.79,1.64,3.56,3.3,14.799999999999999,200.0
3,VS30,320260128,2.5,2.79,1.89,3.56,3.6,15.0,200.0
4,VS30,320260961,1.5,2.79,1.51,3.56,2.95,15.0,200.0
5,VS30,320260961,2.5,2.79,1.77,3.63,3.1,15.0,200.0
6,VS30,320261050,0.75,2.03,1.18,2.79,2.4,15.0,200.0
7,VS30,320261050,1.0,2.03,1.2,2.79,2.5,15.0,130.0
8,VS30,320261175,0.35,1.57,1.06,2.29,1.65,15.0,110.0
9,VS30,320261175,0.5,1.57,1.12,2.29,1.93,15.0,150.0
10,VS30,320261381,0.75,2.03,1.18,2.54,2.2,15.0,150.0
11,GEM,320261498,0.5,2.06,1.2,4.1,3.2,15.0,200.0
12,VS30,320261498,0.5,2.03,1.15,4.06,4.05,15.0,200.0
13,VS30,320261506,2.5,2.54,1.88,4.32,4.55,,
14,VS30,320263098,4.0,3.3,2.35,4.06,4.14,,
15,GEM,320263726,0.35,1.42,0.76,2.85,2.85,15.0,200.0
16,GEM,320264708,0.5,1.45,0.93,1.9780000000000002,1.6179999999999999,15.0,200.0
17,GEM,320277247,0.75,2.05,1.1500000000000001,2.5620000000000003,2.196,14.000000000000002,200.0
18,GEM,320277338,1.0,2.0,1.45,2.79,2.52,14.000000000000002,200.0
19,GEM,320292600,0.35,1.7,0.9400000000000001,2.3180000000000005,1.8980000000000001,15.0,200.0
20,GEM,320298219,0.35,1.76,1.05,2.35,1.95,13.0,200.0
21,GEM,320298250,1.0,2.4,1.25,3.3939999999999997,2.45,14.000000000000002,200.0
22,GEM,320298268,2.5,3.05,1.9000000000000001,4.061999999999999,3.2340000000000004,14.000000000000002,200.0
23,VS30,3201512V1,0.75,2.79,1.8,4.32,3.1,,200.0
24,VS30,320151F9Y,0.75,2.64,1.75,3.56,3.1,15.0,200.0
25,GEM,320151FMY,0.75,3.56,2.1,3.596,3.2119999999999997,15.0,200.0
26,VS30,3202510D4,0.5,1.93,1.2,3.92,4.05,15.0,200.0
27,VS30,3202511S7,0.75,2.17,1.52,2.95,2.7,15.0,200.0
28,VS30,3202511S7,1.0,2.17,1.61,2.95,2.96,15.0,200.0
29,GEM,3202514Z9,0.5,2.0,1.1,2.6,2.11,15.0,200.0
30,GEM,3202515R8,2.5,2.55,1.85,5.07,4.55,12.0,200.0
31,GEM,3202532V5,0.35,1.77,1.1,3.5,2.8,15.0,200.0
32,VS30,3202533F2,0.5,2.03,1.27,4.06,4.05,15.0,200.0
33,VS30,3202533F2,1.0,2.03,1.45,4.06,4.25,15.0,200.0
34,VS30,3202535M5,0.75,1.63,1.1,3.17,3.14,,200.0
35,GEM,3202536X7,2.5,2.65,1.7,4.25,4.3,15.0,200.0
36,GEM,3202537A9,0.5,2.0,1.15,4.13,4.09,14.000000000000002,200.0
37,GEM,3202539B5,2.5,2.89,1.75,4.264,3.04,14.000000000000002,200.0
38,GEM,3202539J7,0.35,1.83,0.95,2.0,1.8,15.0,200.0
39,GEM,3202539J7,0.5,1.83,1.05,2.0,1.9,15.0,200.0
40,GEM,3202539K5,0.75,2.1,1.25,2.42,2.24,14.000000000000002,200.0
41,VS30,3202543P8,0.35,1.27,0.82,2.9,2.75,,200.0
42,GEM,3202547K5,0.5,2.13,1.15,4.05,3.6,,
43,GEM,3202547K5,1.0,2.1,1.25,4.1,4.41,15.0,200.0
44,VS30,3202547K5,0.5,2.03,1.15,4.06,3.85,15.0,200.0
45,VS30,3202547K5,0.75,2.03,1.18,4.06,3.95,15.0,200.0
46,VS30,3202547K5,1.0,2.1,1.25,4.06,4.39,15.0,200.0
47,VS30,3202547L3,1.5,2.6,1.47,4.45,4.25,15.0,300.0
48,VS30,3202547L3,2.5,2.6,1.76,4.45,4.5,15.0,200.0
49,GEM,3202547S5,1.0,2.05,1.33,2.65,2.5,10.0,172.0
50,GEM,3202549H0,2.5,2.8,1.9000000000000001,4.8,4.5920000000000005,12.0,200.0
51,GEM,3202551U4,0.35,1.45,0.83,1.75,1.45,15.0,200.0
52,GEM,3202551V1,0.5,1.44,0.9,1.99,1.67,15.0,200.0
53,GEM,3202551X7,0.5,1.8,1.2,4.0,3.7,15.0,200.0
54,GEM,3202553V9,2.0,2.55,1.7,4.31,4.24,15.0,200.0
55,VS30,3202553Z1,0.35,1.63,0.99,3.75,3.9,,200.0
56,VS30,3202554P4,2.5,2.64,1.75,4.04,4.15,,200.0
57,GEM,3202555A6,0.35,1.65,1.0,3.95,3.35,15.0,200.0
58,VS30,3202555D0,0.5,2.03,1.15,4.06,4.15,15.0,200.0
59,GEM,3202557N5,0.75,1.97,1.15,4.05,3.8,15.0,200.0
60,GEM,3202559W1,0.5,1.6,1.15,3.01,3.01,14.000000000000002,200.0
61,VS30,3202563F5,0.5,2.03,1.15,2.54,1.95,15.0,200.0
62,VS30,3202565V5,0.5,1.93,1.2,3.98,3.94,15.0,200.0
63,VS30,3202565V5,0.75,1.93,1.32,4.04,4.07,15.0,200.0
64,VS30,3202565W3,1.5,2.64,1.47,4.04,4.05,15.0,200.0
65,VS30,3202565W3,2.5,2.64,1.75,4.04,4.15,,200.0
66,GEM,3202566I6,0.5,1.8,1.1,4.9,4.09,15.0,200.0
67,GEM,3202568B9,0.75,2.08,1.2,2.53,2.38,11.0,200.0
68,GEM,320256A34,0.35,1.79,1.0,2.25,1.94,20.0,200.0
69,GEM,320256A34,0.5,1.77,1.05,2.27,2.15,15.0,200.0
70,GEM,3202570E8,0.35,1.8,1.0,2.2,1.85,25.0,300.0
71,GEM,3202570E8,0.5,1.8,1.1,2.2,2.0,20.0,200.0
72,GEM,3202570F6,0.75,2.08,1.2,2.49,2.34,15.0,200.0
73,GEM,3202571C2,2.5,2.7,1.8,4.89,4.72,14.000000000000002,200.0
74,GEM,3202573M8,2.5,2.65,1.81,3.65,3.3,11.0,200.0
75,GEM,3202574F2,3.0,3.35,2.0,4.46,4.1,9.0,200.0
76,GEM,3202574I6,2.0,2.6,1.75,3.5,3.25,14.000000000000002,200.0
77,GEM,3202574I6,2.5,2.63,1.9,3.55,3.43,12.0,200.0
78,GEM,3202577Y5,1.0,1.88,1.15,2.35,2.1,15.0,200.0
79,GEM,3202577Z3,0.35,1.3,0.84,1.8,1.65,15.0,250.0
80,VS30,3202578F8,0.35,1.27,0.87,1.78,1.35,15.0,200.0
81,GEM,3202578I2,2.0,2.6,1.7,4.65,4.53,15.0,200.0
82,VS30,3202578I2,1.5,2.54,1.47,4.19,4.25,,200.0
83,VS30,3202578I2,2.5,2.54,1.76,4.34,4.45,,200.0
84,VS30,3202578J9,0.75,2.03,1.18,4.06,3.95,15.0,200.0
85,GEM,3202579V9,0.35,1.45,0.93,1.6,1.82,15.0,200.0
86,GEM,320257AA6,1.5,2.65,1.48,3.83,2.9,15.0,200.0
87,GEM,320257AA6,2.0,2.65,1.7,3.85,3.16,15.0,200.0
88,VS30,320257C06,0.35,1.4,0.8,2.79,2.6,,200.0
89,SPIN,320257CL0,3.0,,2.1,,2.65,15.0,350.0
90,GEM,320257Q84,1.0,2.13,1.56,2.9,3.05,20.0,49.0
91,GEM,320257QA9,3.0,3.4,2.0999999999999996,4.590000000000001,3.768,11.0,200.0
92,VS30,320257QA9,4.0,3.3,2.35,4.57,4.1,15.0,200.0
93,GEM,320257WX8,2.0,2.9,1.75,3.7,3.2,15.0,200.0
